Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,72.220001,73.220001,71.550003,72.360001,72.360001,43535000
2014-08-04,72.360001,73.879997,72.360001,73.510002,73.510002,30777000
2014-08-05,73.199997,73.589996,72.18,72.690002,72.690002,34986000
2014-08-06,72.019997,73.720001,71.790001,72.470001,72.470001,30986000
2014-08-07,73.0,74.0,72.699997,73.16999799999999,73.16999799999999,38141000
2014-08-08,73.400002,73.43,72.559998,73.059998,73.059998,27202000
2014-08-11,73.459999,73.910004,73.059998,73.440002,73.440002,24591000
2014-08-12,73.089996,73.33000200000001,72.220001,72.83000200000001,72.83000200000001,27419000
2014-08-13,73.120003,74.25,73.050003,73.769997,73.769997,29266000
2014-08-14,73.970001,74.379997,73.690002,74.300003,74.300003,22207000
2014-08-15,74.32,74.650002,73.0,73.629997,73.629997,38846600
2014-08-18,74.0,74.720001,73.959999,74.589996,74.589996,23974000
2014-08-19,74.809998,75.58000200000001,74.510002,75.290001,75.290001,26679000
2014-08-20,74.970001,75.18,74.620003,74.809998,74.809998,22917000
2014-08-21,74.91999799999999,75.190002,74.410004,74.57,74.57,20102000
2014-08-22,74.339996,74.730003,73.57,74.57,74.57,20897000
2014-08-25,74.940002,75.279999,74.790001,75.019997,75.019997,19734000
2014-08-26,75.0,75.989998,74.730003,75.959999,75.959999,23993000
2014-08-27,75.269997,75.489998,74.459999,74.629997,74.629997,36323000
2014-08-28,74.0,74.43,73.730003,73.860001,73.860001,21947000
2014-08-29,74.300003,74.82,74.010002,74.82,74.82,26241000
2014-09-02,75.010002,76.699997,74.82,76.68,76.68,34979000
2014-09-03,77.139999,77.480003,75.599998,75.83000200000001,75.83000200000001,32389000
2014-09-04,75.889999,76.93,75.529999,75.949997,75.949997,26676000
2014-09-05,76.099998,77.379997,75.599998,77.260002,77.260002,29476000
2014-09-08,77.260002,78.16999799999999,77.010002,77.889999,77.889999,28183000
2014-09-09,77.589996,78.16999799999999,76.199997,76.66999799999999,76.66999799999999,28882000
2014-09-10,76.519997,77.949997,76.510002,77.43,77.43,29909000
2014-09-11,77.129997,78.360001,77.050003,77.91999799999999,77.91999799999999,32219000
2014-09-12,78.019997,78.300003,77.099998,77.480003,77.480003,26676800
2014-09-15,77.150002,77.25,73.43,74.58000200000001,74.58000200000001,49679000
2014-09-16,73.519997,76.230003,73.07,76.08000200000001,76.08000200000001,37742000
2014-09-17,75.959999,77.25,75.57,76.43,76.43,28693000
2014-09-18,76.769997,77.33000200000001,76.519997,77.0,77.0,23031000
2014-09-19,77.400002,78.300003,76.440002,77.910004,77.910004,76671000
2014-09-22,77.0,77.529999,75.949997,76.800003,76.800003,31961000
2014-09-23,76.33000200000001,78.629997,76.040001,78.290001,78.290001,36814000
2014-09-24,78.099998,78.620003,77.510002,78.540001,78.540001,30680000
2014-09-25,78.599998,78.940002,77.129997,77.220001,77.220001,37533000
2014-09-26,77.589996,78.839996,77.33000200000001,78.790001,78.790001,28872000
2014-09-29,78.120003,79.199997,77.910004,79.0,79.0,34031000
2014-09-30,79.349998,79.709999,78.599998,79.040001,79.040001,35899000
2014-10-01,78.779999,78.82,75.900002,76.550003,76.550003,55090000
2014-10-02,76.57,77.480003,75.639999,77.08000200000001,77.08000200000001,36488000
2014-10-03,77.760002,78.059998,77.260002,77.440002,77.440002,23340000
